City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Hambantota,LK,86.05,overcast clouds,6.1241,81.1185,Bungalow 63
272,Levokumskoye,RU,79.56,overcast clouds,44.8219,44.6606,SPA-Otel «Елена»
273,Tuatapere,NZ,49.26,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
275,Alakurtti,RU,60.37,few clouds,66.9672,30.3491,Agroturystyka Gientosław
276,Caravelas,BR,62.85,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
277,Praya,CV,72.14,broken clouds,14.9215,-23.5087,LT Aparthotel
278,Ottumwa,US,64.94,overcast clouds,41.02,-92.4113,Hampton Inn Ottumwa
279,Severo-Kurilsk,RU,45.5,overcast clouds,50.6789,156.125,Kak Doma
280,Larap,PH,88.68,scattered clouds,14.299,122.6504,Montemayor Cove
281,Asau,RO,72.52,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
282,Hasaki,JP,64.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
283,Klaksvik,FO,49.12,overcast clouds,62.2266,-6.589,Airbnb rooms
284,Hot Springs,US,74.35,overcast clouds,34.5037,-93.0552,Embassy Suites by Hilton Hot Springs Hotel & Spa
285,Chapleau,CA,48.24,overcast clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
286,Lumphat,KH,85.98,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
287,Gat,IL,85.41,few clouds,31.61,34.7642,OlusHome
288,Payo,ID,90.37,few clouds,-3.7508,103.6372,Mess keban agung
290,Bol,TD,84.74,clear sky,13.4586,14.7147,Harrouni camp de passage
291,Comodoro Rivadavia,AR,42.66,light rain,-45.8667,-67.5,Austral Hotel
293,Balikpapan,ID,78.42,overcast clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
295,Tiksi,RU,45.09,overcast clouds,71.6872,128.8694,Arktika
296,Lagoa Vermelha,BR,54.93,overcast clouds,-28.2086,-51.5258,Hotel Kaianã
297,La Ronge,CA,50.23,broken clouds,55.1001,-105.2842,Northland Motor Hotel
298,Willmar,US,62.55,light rain,45.1219,-95.0433,Lakeview Inn
299,Octeville,FR,57.69,overcast clouds,49.6261,-1.6435,Hôtel Le Louvre Cherbourg
300,Dayong,CN,73.26,light rain,25.0209,118.2898,Haiyue Express Hotel
301,Codrington,AU,51.17,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
302,Torbay,CA,39.58,scattered clouds,47.6666,-52.7314,Gallows Cove
303,Cerritos,US,69.64,overcast clouds,33.8583,-118.0648,Sheraton Cerritos Hotel
304,Broken Hill,AU,51.89,broken clouds,-31.95,141.4333,Royal Exchange Hotel
305,Livingston,GB,55.47,scattered clouds,55.9029,-3.5226,Mercure Livingston Hotel
306,Port Augusta,AU,55.0,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
307,Zhob,PK,93.97,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
308,Chapais,CA,56.98,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
310,Sisian,AM,72.12,light rain,39.5256,46.0251,Liko Hostel
311,Richards Bay,ZA,69.67,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
312,Lata,PT,67.82,few clouds,40.1629,-8.3327,Casa Maquia
313,Alofi,NU,77.38,few clouds,-19.0595,-169.9187,Taloa Heights
314,Mitsamiouli,KM,80.22,few clouds,-11.3847,43.2844,Foyer ADM
315,Manggar,ID,84.04,overcast clouds,-2.8833,108.2667,Guest Hotel
316,Nome,US,66.27,clear sky,64.5011,-165.4064,Dredge 7 Inn
319,Lompoc,US,55.29,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
320,Laguna,US,69.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
321,Portoferraio,IT,78.69,clear sky,42.8115,10.3146,Hotel Villa Ombrosa
322,Manaus,BR,73.9,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
323,Laishevo,RU,61.02,overcast clouds,55.4046,49.5504,Mini-Otel'
324,Shimoda,JP,62.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
325,Baiquan,CN,74.39,overcast clouds,47.5833,126.0833,Wenxin Home Leisure Express Hotel
326,Ovsyanka,RU,54.57,overcast clouds,55.9575,92.5519,Hotel Alsey Krasnoyarsk
327,Maceio,BR,71.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
329,Shache,CN,89.49,scattered clouds,38.4167,77.2406,Delong Hotel
